date,close,volume,open,high,low
2018-05-31,284.73,5912825,287.21,290.37,282.93
2018-05-30,291.72,7473590,283.29,295.005,281.6
2018-05-29,283.76,5657153,278.51,286.5,276.15
2018-05-25,278.85,3872621,277.625,279.64,275.61
2018-05-24,277.85,4170789,278.4,281.11,274.89
2018-05-23,279.07,5972237,277.76,279.9099,274
2018-05-22,275.01,8938501,287.762,288,273.422
2018-05-21,284.49,9167844,281.33,291.49,281.3
2018-05-18,276.82,7243699,284.65,284.65,274
2018-05-17,284.54,4418258,285.9,289.1873,283.97
2018-05-16,286.48,5669644,283.83,288.81,281.56
2018-05-15,284.18,9509753,285.01,286.96,280.5
2018-05-14,291.97,7265501,303.32,304.94,291.62
2018-05-11,301.06,4665321,307.7,308.88,299.08
2018-05-10,305.02,5642771,307.4997,312.99,304.1119
2018-05-09,306.85,5712255,300.41,307.01,300.05
2018-05-08,301.97,5927447,300.795,307.75,299
2018-05-07,302.77,8673090,297.5,305.9588,295.17
2018-05-04,294.09,8565506,283,296.86,279.52
2018-05-03,284.45,17339090,278.79,288.04,275.23
2018-05-02,301.15,8346176,298.57,306.85,297.7844
2018-05-01,299.92,4614946,293.51,300.82,293.22
2018-04-30,293.9,4224068,293.61,298.73,292.5
2018-04-27,294.075,4346854,285.37,294.47,283.83
2018-04-26,285.48,4348108,278.75,285.79,276.5
2018-04-25,280.69,4000421,283.5,285.16,277.25
2018-04-24,283.46,5678242,285,287.09,278.46
2018-04-23,283.37,4880743,291.29,291.62,282.33
2018-04-20,290.24,5622630,295.17,299.98,289.75
2018-04-19,300.08,6083800,291.08,301.01,288.55
2018-04-18,293.35,6531563,291.08,300.24,288.16
2018-04-17,287.69,6931152,288.87,292.17,282.51
2018-04-16,291.21,6289497,299,299.66,289.01
2018-04-13,300.34,7319225,303.6,303.9499,295.98
2018-04-12,294.08,7595525,302.32,303.95,293.68
2018-04-11,300.93,7470204,300.74,308.98,299.66
2018-04-10,304.7,11017010,298.97,307.1,293.68
2018-04-09,289.66,10241410,300.37,309.5,289.21
2018-04-06,299.3,13516530,301,309.28,295.5
2018-04-05,305.72,19025860,289.34,306.26,288.2
2018-04-04,286.94,19880180,252.78,288.37,252
2018-04-03,267.53,18829650,269.82,273.35,254.49
2018-04-02,252.48,16093290,256.26,260.3318,244.5901
2018-03-29,266.13,15014440,256.49,270.9599,248.21
2018-03-28,257.78,20962280,264.58,268.68,252.1
2018-03-27,279.18,13787060,304,304.27,277.18
2018-03-26,304.18,8364937,307.34,307.59,291.36
2018-03-23,301.54,6639960,311.25,311.61,300.45
2018-03-22,309.1,4924928,313.89,318.82,308.18
2018-03-21,316.53,5954247,310.25,322.44,310.19
2018-03-20,310.55,4761031,314.87,316.25,308.76
2018-03-19,313.56,7467890,316.5,320.75,309.67
2018-03-16,321.35,6113365,325.96,327.4,319.07
2018-03-15,325.6,6554568,329.38,332.85,321.1
2018-03-14,326.63,7952152,336.76,339.81,323.93
2018-03-13,341.84,5960636,344.92,345.12,336.2635
2018-03-12,345.51,8252919,328.61,347.21,326.5
2018-03-09,327.17,5502779,324.1,328.49,322.37
2018-03-08,329.1,3514367,332.86,333.3,326.274
2018-03-07,332.3,5001940,325.44,332.5,321.74
2018-03-06,328.2,4236483,333.75,336.37,327.03
2018-03-05,333.35,3820702,332.39,337.75,329.2929
2018-03-02,335.12,5088789,326.98,335.22,322.97
2018-03-01,330.93,6872552,345.01,348.67,330.07
2018-02-28,343.06,6066044,352.57,355.24,342.22
